Job #,Rep,Job Name,Buyer,$ Booked but not shipped,  Date,Invoice      Date,$ Shipped and Invoiced,Margin,Commissions Due,Paid        Date,id,creation,modified
10011,SC,"Tasman - Sunnyvale, CA",Shoreline,"363,047",2/18/10
10012,JW,"Tim Hortons - Wayne, MI",Tim Hortons,,2/23/10,3/29/10,"4,032",837,0
10013,KD,"Wendy's - Clarksville, TN",Prather,,2/26/10,3/17/10,"7,905","2,066","1,033"
10014,DM,"Olive Garden - Pleasant Prairie, WI",Fox River Components,"23,220",3/5/10
10015A,BD,"Landside & Waterside Buildings - Marina Del Rey, CA",Reno Truss,,3/5/10,3/19/10,"1,886",435,218,3/29/10
10015B,BD,"Landside & Waterside Buildings - Marina Del Rey, CA",Reno Truss,,3/5/10,3/29/10,"5,851","1,098",549
10017,DM,"Red Lobster - Lee Summit, MO",MTA Dev.,,3/10/10,4/9/10,"35,150","6,790","3,395"
10018,DM,"Olive Garden - Lee Summit, MO",MTA Dev.,"22,468",3/10/10
10019,SC,"River Sr. Housing - Reno, NV",Shoreline,"50,000",3/16/10
10020,SC,"Neil Road Sr.Housing - Reno, NV",Shoreline,"25,500",3/16/10
10021,BD,"Lane Residence - Coeur d'Alene, ID",Vandermeer Forest Prod,"10,240",3/18/10
10022,DM,"Golden Corral - Smithfield, NC",GC Development,"25,210",3/18/10
10023,VB,"Jackson Hole Airport - Jackson Hole, WY",Ron Peterson,"78,284",3/25/10
10024,DM,"Olive Garden - Wilson, NC",US General Const.,"25,730",3/29/10
10025,JW,"Tim Hortons - Blasdale, NY",Tim Hortons,"5,210",4/9/10
10026,PW,"Haymaker Mezz. - San Luis Obispo, CA",Specialty,"3,510",4/12/10
10027,DM,"Olive Garden - Council Bluffs, IA",Fox River Components,"21,735",4/13/10


,,,Totals,"1,364,334",,,,,"97,239"
