113,9041C,VB,Stein-Erikson Lodge Spa Add - Park City UT,Ron Peterson,,8/26/09,8/31/09,3220,599,300,2/22/10,,
114,9041D,VB,Stein-Erikson Lodge Spa Add - Park City UT,Ron Peterson,,10/9/09,10/14/09,3043,589,295,2/22/10,,
115,9041E,VB,Stein-Erikson Lodge Spa Add - Park City UT,Ron Peterson,,11/20/09,12/1/09,5465,1197,599,3/16/10,,
116,9047,KD,Comfort Inn - Oklahoma City OK,Integrated Const. Services,66500,9/8/09,,,,,,,
117,9053,VB,Clearfield H. S. Gym - Clearfield UT,Ron Peterson,,9/22/09,10/16/09,11274,2755,1378,4/5/10,,
118,9056,DM,Golden Corral - Sheridan CO,Worden Const.,,10/13/09,3/10/10,24500,8959,4480,,,
119,9065,KD,Wendy's - Dodge City KS,The Beacon Group,9225,11/11/09,,,,,,,
120,9072,VB,Jackson Hole Airport - Jackson Wyoming (FSC benches),Ron Peterson,15000,12/28/09,,,,,,,
121,10002,KD,Wendy's - Edenton NC,Sechrist,8500,1/6/10,,,,,,,
122,10003,KD,Moss Point Landing,,,,,,,,,,
123,10004,PW,Central Coast Kidney - Santa Maria CA,Stasawick,16603,2/4/10,,,,,,,
124,10005,PW,Autozone - Grover Beach CA,Gemini,,2/5/10,3/29/10,29569,6463,3232,,,
125,10006,DM,Golden Corral - Lancaster OH,Berry & Miller,,2/5/10,4/2/10,22978,4842,2421,,,
126,10007,DM,Golden Corral - Grand Prairie TX,GC Development,,2/18/10,3/19/10,2440,696,348,3/25/10,,
127,10008,PW,Santa Maria Court Clerk's - Santa Maria CA,Gemini,43996,2/18/10,,,,,,,
128,10009,PW,SSF - Paso Robles CA,SRG,99999,2/18/10,,,,,,,
129,10010,DM,Chili's - Vernon Hills IL,Fox River Components,15152,2/18/10,,,,,,,
130,10011,SC,Tasman - Sunnyvale CA,Shoreline,363047,2/18/10,,,,,,,
131,10012,JW,Tim Hortons - Wayne MI,Tim Hortons,,2/23/10,3/29/10,4032,837,0,,,
132,10013,KD,Wendy's - Clarksville TN,Prather,,2/26/10,3/17/10,7905,2066,1033,,,
133,10014,DM,Olive Garden - Pleasant Prairie WI,Fox River Components,23220,3/5/10,,,,,,,
134,10015A,BD,Landside & Waterside Buildings - Marina Del Rey CA,Reno Truss,,3/5/10,3/19/10,1886,435,218,3/29/10,,
135,10015B,BD,Landside & Waterside Buildings - Marina Del Rey CA,Reno Truss,,3/5/10,3/29/10,5851,1098,549,,,
136,10017,DM,Red Lobster - Lee Summit MO,MTA Dev.,,3/10/10,4/9/10,35150,6790,3395,,,
137,10018,DM,Olive Garden - Lee Summit MO,MTA Dev.,22468,3/10/10,,,,,,,
138,10019,SC,River Sr. Housing - Reno NV,Shoreline,50000,3/16/10,,,,,,,
139,10020,SC,Neil Road Sr.Housing - Reno NV,Shoreline,25500,3/16/10,,,,,,,
140,10021,BD,Lane Residence - Coeur d'Alene ID,Vandermeer Forest Prod,10240,3/18/10,,,,,,,
141,10022,DM,Golden Corral - Smithfield NC,GC Development,25210,3/18/10,,,,,,,
142,10023,VB,Jackson Hole Airport - Jackson Hole WY,Ron Peterson,78284,3/25/10,,,,,,,
143,10024,DM,Olive Garden - Wilson NC,US General Const.,25730,3/29/10,,,,,,,
144,10025,JW,Tim Hortons - Blasdale NY,Tim Hortons,5210,4/9/10,,,,,,,
145,10026,PW,Haymaker Mezz. - San Luis Obispo CA,Specialty,3510,4/12/10,,,,,,,
146,10027,DM,Olive Garden - Council Bluffs IA,Fox River Components,21735,4/13/10,,,,,,,
147,,,,Totals,1364334,,,,,97239,,,
